,obj1,obj2,obj3,obj4,obj5
obj1,1.0,0.11489074907925458,-0.9849777807058959,0.29498152977797987,0.1039253780643638
obj2,0.11489074907925458,1.0,-0.1170972438966744,0.03330549347891509,0.16097246698943382
obj3,-0.9849777807058959,-0.1170972438966744,1.0,-0.37744383701207573,-0.10748236836077356
obj4,0.29498152977797987,0.03330549347891509,-0.37744383701207573,1.0,0.11160073545434723
obj5,0.1039253780643638,0.16097246698943382,-0.10748236836077356,0.11160073545434723,1.0
