,type,mombi2,moead,nsgaii,spea2
0,0,0.0,0.9060479133555474,0.8441841307793103,0.5384793512848034
2,0,0.0,0.6736410270408204,0.9077260631683436,0.990372163770195
4,0,0.0,0.9241803790469172,0.9871221120367362,0.9637931266341724
6,0,0.0,0.9131452922998096,0.8772036878496026,0.9509311149135008
8,0,0.0,0.9020580765502286,0.9949180618967818,0.99604560523783
10,0,0.1681986476692112,0.8661636132101619,0.9190426261722068,0.9675116319577864
12,0,0.0,0.953887413610598,0.864618692084806,0.9879997342727014
14,0,0.0,0.8929631190670171,0.9980474896522242,0.9533069073373296
16,0,0.0,0.9234780073840336,0.9954833600911404,0.991399292112731
18,0,0.0,0.9469159809121828,0.9688315727702476,0.9993791135476692
20,0,0.0,0.803354308715875,0.8880717609929144,0.915810559549178
22,0,0.0736335078190538,0.667063501219827,0.8767125735393352,0.7509330291497096
24,0,0.0,0.9253553479718908,0.8796988957113874,0.6758644245179798
26,0,0.0,0.8399985263853408,0.873529239345231,0.7128417623823585
28,0,0.0,0.6778574856518429,0.9265157056956842,0.9668595840035172
30,0,0.0,0.9551886678753724,0.8058655079013426,0.974981126860136
32,0,0.0,0.892786706689271,0.999827668471453,0.8432650230352401
34,0,0.0,0.8036075994919748,0.9820253697972708,0.944279294817066
36,0,0.0284414577241922,0.709856918053489,0.9765353106727886,0.8644447723955568
38,0,0.0,0.9315388624359592,0.8041122604234416,0.9395813467955346
40,0,0.0,0.8290800398464826,0.6455755371144912,0.9327382110022556
42,0,0.0,0.8201784133521041,0.7519688083064774,0.6670112534004943
44,0,0.0,0.8222879020931383,0.96223550986044,0.9692524068120428
46,0,0.0,0.8837431152701425,0.8826859378074512,0.9208094288121008
48,0,0.0,0.8425232870684469,0.9422438596779624,0.9989435781907164
50,0,0.0,0.9454014234463878,0.9709951003091328,0.7213492421523786
52,0,0.4259402728285124,0.8608890364840256,0.9203631298547488,0.8416454314507665
54,0,0.2195422736063298,0.7384912013084353,0.896802985019182,0.1532634469750747
56,0,0.0,0.974303551728192,0.7885489159984113,0.8098967711787718
58,0,0.0,0.9622107618107948,0.9976062342280152,0.9447396642619836
