,type,mombi2,moead,nsgaii,spea2
1,3,0.1271451589255323,0.0341509743718366,0.0935969446205005,0.075252532574573
3,3,0.0719703850048446,0.0407626296520767,0.1242941251575971,0.0710746963292883
5,3,0.1361780003850721,0.0441758369402781,0.0973550437092252,0.0737291603662498
7,3,0.0685577135199596,0.0416295079942782,0.1162918828736081,0.0736249005019462
9,3,0.0849498926848913,0.0376174903047362,0.0902212487077649,0.0830479443126471
11,3,0.1160522045922682,0.0423935286407638,0.1193100698198331,0.0738965400897405
13,3,0.1082843351910561,0.0408141436107321,0.1177192618417419,0.070660074020015
15,3,0.0852587810817414,0.0380182113815763,0.0938676639979622,0.0706592823407616
17,3,0.0843030869932743,0.0469494366264391,0.1040165368541525,0.0710840354759269
19,3,0.0846884826953621,0.0433826842661822,0.0967051123493877,0.0726600293018924
21,3,0.0743233826515914,0.0300813528864295,0.0965393864108273,0.0756151600694321
23,3,0.1172910540159347,0.0428107872665214,0.0887036043310768,0.0776352791707054
25,3,0.0756452207736198,0.0437553909329432,0.1281533027600139,0.066391380211084
27,3,0.0478492167036235,0.0383963790287465,0.094431259262058,0.0830092459958768
29,3,0.0607364253699475,0.0422927697419517,0.1269906444942689,0.0757183397260674
31,3,0.057513182394943,0.0453307327193388,0.0930384765165892,0.0832229727218074
33,3,0.0613487471148254,0.0300761817652653,0.1187036783442448,0.0603290825175528
35,3,0.0751153688485302,0.0352698834966331,0.1388099120516208,0.0917650537253736
37,3,0.0728499025362798,0.0421808590966813,0.103824907326789,0.0749477713757992
39,3,0.0611253344248394,0.0363565703663234,0.1184967165583403,0.0798955249669396
41,3,0.1323829863099928,0.0390471289076676,0.101151566980033,0.0788147033082892
43,3,0.0741330042089442,0.0472429164043828,0.1229998028160448,0.0737126026102184
45,3,0.074495956380072,0.0340900587594863,0.0995283055539398,0.0904137074744448
47,3,0.0864091319827004,0.0433623211936505,0.1087341422463857,0.0780228949895279
49,3,0.0869340439027813,0.0386422886588447,0.1085700689818225,0.0791105434653171
51,3,0.0554377426259738,0.0360018148661619,0.1456135365536057,0.0763191793646509
53,3,0.1301514728281878,0.0390706659695893,0.1141601664787253,0.0721999565471787
55,3,0.0777985677122001,0.0340350313797763,0.1109591917152229,0.0715591972011454
57,3,0.0545327403272121,0.0312669347277629,0.1024706846436633,0.0699112307539943
59,3,0.1373193134699096,0.0311661459620988,0.1055743033265518,0.0740902469536212
