,type,mombi2,moead,nsgaii,spea2
1,3,1.1217000635776109,0.07306660919147695,0.08436734591455564,0.2987603918102322
3,3,1.4440681891809872,0.2632176979944353,0.049122826965954165,0.0043123138477605735
5,3,1.6583117157321678,0.05823095544399265,0.008601427627114515,0.025094353887427524
7,3,1.3933823169772568,0.06714013257846764,0.0648119329250251,0.036343989734969606
9,3,1.2442277999133446,0.07633102112310139,0.002242871713342871,0.0024984532856035893
11,3,0.6910541985432872,0.10569921840133788,0.05972662876340365,0.015556804185512097
13,3,0.8516117096120144,0.03392519989188998,0.07179331362193837,0.007565714650595877
15,3,1.5200423991276169,0.06661620239157258,0.0007793901005041442,0.034388518999611366
17,3,1.4055199524729616,0.0556255940901066,0.0019627898742212717,0.004488589642256604
19,3,1.09549095593227,0.03960598414896997,0.01823672575273561,0.00034125940809694904
21,3,1.1625265267400369,0.17216227081249438,0.08773238980629319,0.06402056938321424
23,3,0.7812958095129319,0.22511375185243795,0.06509086628349355,0.14730082343779002
25,3,1.6275448607787004,0.05726585767302736,0.06347399202746541,0.2329789092914043
27,3,1.623445562339742,0.09725744524186766,0.06681012872294274,0.22065546030312305
29,3,1.2002440287106386,0.2561642303006875,0.037906121526544025,0.021167383359014604
31,3,1.9737127712714944,0.032860537311620086,0.10821273590592204,0.017209648065371282
33,3,1.3205480323868446,0.08357815638947484,5.853343737045558e-05,0.08466393754897164
35,3,1.0777770265241928,0.1426204232619341,0.01208503870767788,0.041786387995688935
37,3,0.8244699435033499,0.2020016654072771,0.015441823456103603,0.08919627059594287
39,3,1.4270317961411072,0.052180328838592784,0.10930399090450188,0.03076937735990108
41,3,1.7040213736081282,0.13075821236143353,0.2392295022180592,0.05122909293507924
43,3,1.3478125791583104,0.12652938091809388,0.14650177315764118,0.2682490062610271
45,3,1.5664410700214284,0.1415743285346433,0.018420590782279204,0.021482176454721398
47,3,1.3467440298483595,0.09131598944317193,0.061815667127594426,0.04280677399829474
49,3,1.5724532278865166,0.09071181663996143,0.02916683677640943,0.00040350317182193487
51,3,1.0663781204610812,0.03983985243345378,0.01405140773510193,0.1966538676293512
53,3,0.4632055596735853,0.07561325459407163,0.0613035106307117,0.08557153898946056
55,3,0.6443552025823515,0.20018251669905535,0.054068673750890736,0.7048465250751932
57,3,1.037609125228275,0.016996520072089287,0.12890250470717746,0.1162460736497258
59,3,1.0874709570557834,0.027115187728092842,0.0014529471550300244,0.04138282021692243
