problem;type;runupdate;mombi2;moead;nsgaii;spea2
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,39611214760497365;0,3662072430817166;0,34621534479526594;0,3554985220130271;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,26223435685379565;0,05293327380291356;0,05558173568869061;0,047934503185545554;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,05687944435494981;0,049896660547347746;0,08479898615532161;0,0748771268809318;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3524862189485272;0,3694050653382645;0,3343605656479625;0,3620502920518135;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,18186321832717803;0,054484296152136576;0,05706510675082376;0,048135450105855966;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,10891069598784628;0,04844925730507565;0,09592607166978187;0,07549758255462641;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3712479940237697;0,3786921178478567;0,331370046919736;0,3647353827954194;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,23895405673580308;0,0525412377830505;0,056395640837667536;0,048817889962010315;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,08603783142547486;0,04279496237407405;0,10276213834996936;0,07437257710027058;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,36925628951486494;0,3665293725820736;0,33664873880990126;0,3630462028040341;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,181161864152402;0,04942066999200346;0,05412603450850128;0,04797145577802637;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,0881314748278051;0,05213344778113747;0,09392796576083155;0,0750203816569975;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,385772519059658;0,3710426464035777;0,31188753052284124;0,3676836164091304;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,2638563776478295;0,05426237790706796;0,053960260449284925;0,04822158497178061;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,07044692927465143;0,04969913717820042;0,12596286984586463;0,06368498521910143;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,34798692846550755;0,37332837703432936;0,3480710556230287;0,37809928951500393;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,2281492812353528;0,05123017800361035;0,05460896292449845;0,04793652230917156;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,11392372271194934;0,04595434906085242;0,08409046137871756;0,05812484445828568;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,4055877283304852;0,3696462988580849;0,3112545790808512;0,3729302699097485;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,26900497104897964;0,052094763478070384;0,048981027736333296;0,04657913476933364;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,03989788064401583;0,052036464752003776;0,1283858561111007;0,07472789985769061;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3779919880176705;0,3668796959595124;0,30983975857742174;0,3684498105529614;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,19607888542071675;0,05010052458846606;0,04975172119827623;0,046154113911832134;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,07382296609795441;0,051081500733472784;0,1029385889767022;0,06391535843238291;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3884891479988758;0,3896785497174567;0,3560102485284423;0,3609609788996311;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,1542443734348891;0,05259756114296181;0,05872651084702963;0,04690860853498126;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,06026466418217409;0,03719866056445931;0,10384038956074358;0,06176828772711388;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,38069898809679364;0,369862907086749;0,3449865420686995;0,3686297037645008;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,2444839297391655;0,04998798539867984;0,056825209432014585;0,04805337224312054;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,07536194362619904;0,0494629637809491;0,0924881755755583;0,0623845740187205;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,39198448069790276;0,3783721468171273;0,32726663953942065;0,3734453648667519;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,22263868267546874;0,051812686101547434;0,05366942352940804;0,047972246973613075;
