problem;type;runupdate;mombi2;moead;nsgaii;spea2
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,05514413242895817;0,042009031805794815;0,11272535663879414;0,07948077074612271;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,38290919710924054;0,3647161728811852;0,32746623063650704;0,3598247608695555;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,25212614052258275;0,05198106107194036;0,04882615635130006;0,0478778460619457;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,06308894736991516;0,04995672785189363;0,09785443555182721;0,06482027199994085;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,39101464627231647;0,37277798555183667;0,31516509509265955;0,36210260897138086;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,18332563471938443;0,051731183395161265;0,055579752297030424;0,046895644995853455;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,05814897060391877;0,04699699456093209;0,11702966892286877;0,08253164630190744;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3950915260086878;0,3634683974187299;0,30192279426673463;0,36347890620126916;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,20301106888946482;0,05144396595014062;0,05323413860780683;0,047063872045873235;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,060205965153496355;0,05213609731878478;0,11188984065397757;0,06628262272587677;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,4102924141562834;0,3656133161696006;0,29834135902373676;0,364201428878826;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,23589562129219152;0,0546933462747329;0,053316732798311964;0,04667157907302219;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,03944726268102944;0,050892577864651525;0,12268469224525223;0,07222862548556817;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3872281395694487;0,37077732230421195;0,30983380052238463;0,3685591373578335;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,11246875613357758;0,0498713219630614;0,055211841478876984;0,04820134143369518;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,06797091884039969;0,04992969843725857;0,11762023811799524;0,06797036853329448;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,40047660123425144;0,36780289658912885;0,3236569608761782;0,35785104918305244;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,21474840494993394;0,048511662122828515;0,05147308608969844;0,04601861200698544;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,050858233505667705;0,0479123300006468;0,11542118029591028;0,08373540294296626;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,35097478136266824;0,3736747522329145;0,3200022663280947;0,35069138789492427;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,22782338360283855;0,05305979817044548;0,04983111193109368;0,046887034840795205;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,10549701548726238;0,05067728286737645;0,11832362686850434;0,0766144403877585;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3520810305947676;0,3601764040409485;0,3289323208768305;0,37639484007311175;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,25546937945932624;0,05121718429526882;0,05103168372891279;0,0481541127837202;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,10236553235353228;0,05556512806646731;0,10347272491395358;0,05861153409954259;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3967692219030211;0,36729177213727976;0,31748822250378045;0,3687550496062955;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,2566025826637755;0,04995432933455669;0,056610879189244886;0,04775549724337355;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,06338034447019002;0,050366358766570196;0,11319569805635522;0,06800608297310008;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,38139267840523217;0,3761527345105858;0,32107071616253274;0,37260968583104703;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,22514814861036817;0,052289797591085964;0,051534725169429106;0,047190386838715494;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,0715108953693585;0,05149727383217261;0,09368378771550046;0,06227970000898057;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3820890848186442;0,3719834954108115;0,3411170993710227;0,36750285425024526;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,148496348531715;0,04917465669153579;0,054601960732544315;0,047108714294576526;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,07124373600104918;0,052631791278870035;0,08415936463084434;0,08105158106034945;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3815181934274275;0,3654752804878834;0,3242896941756573;0,3761637916371967;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,24054277292305618;0,047965402215990466;0,05132814514856964;0,048527353611111046;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,06353507864044924;0,049146797171551036;0,10669309546841226;0,06029113776445413;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3777860889938993;0,3723334002717508;0,33334904048934616;0,3567067117339921;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,2093193130034446;0,05048428677979439;0,0522219252952087;0,04872209937781885;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,07216778751279915;0,051364635910523065;0,10760856399387095;0,08132203936175784;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3859336069462715;0,3722017915971716;0,3422844294571511;0,36502715624341286;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,18042008862909137;0,050486327954502475;0,05085038192624084;0,04709784901568516;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,06609916863154966;0,04649867413069413;0,08638635930521568;0,07496817996611103;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,37289147459549576;0,3527849746973147;0,3264750708662197;0,36752469926868886;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,25250690204954357;0,05183431690124147;0,053538488157902665;0,04737575865364492;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,08754109760598668;0,05338429001576062;0,10695412362076732;0,06703024832867906;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,4041664382471916;0,3525182468439594;0,33086109914792783;0,3628701668320052;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,2561557640584487;0,051034603228395335;0,05432882645022707;0,047251427641353504;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,03909510955394267;0,05905142637729484;0,1051525399938204;0,07638166463692429;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3647893950172568;0,36085096368098846;0,3279626870631199;0,3622392304906929;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,23133542559807466;0,05018721096309942;0,05489910879325453;0,04747185998926778;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,09655895193770965;0,055955104874779116;0,09356626615304367;0,0693856594534858;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,3484173180987257;0,36728009400599604;0,3608716410510565;0,3572611579868395;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,24274483616125736;0,05102372989308221;0,05438973416868584;0,046031657739280626;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,11778165548040528;0,050193298852903606;0,09139566933843066;0,06766560130687077;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;0;1;0,4095713566121316;0,3673156862431181;0,30884342164590123;0,3789929652286101;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;0;0,25207869736361366;0,05198053176622164;0,05304157373609357;0,04879576443518925;
NormSystem_obj_5_conf_400_100_5_0.05_10_5000;3;1;0,04619254312884224;0,05110119975193067;0,12266807497482751;0,05432423926303254;
